"invoice_id","supplier_id","supplier_name","supplier_tax_id","invoice_number","invoice_date","invoice_due_date","invoice_submission_date","invoice_amount","currency","payment_date","payment_amount","payment_method","payment_reference","payment_status","days_to_payment","is_overdue","created_at","updated_at"
"INV-00001","SUP-00001","Northland Foods Inc.","US112233445","NF-20240101-001","2024-01-02","2024-01-17","2024-01-03","495.25","USD","2024-01-10","495.25","bank_transfer","TRX20240110A","paid","7","false","2024-01-03T10:32:19","2024-01-10T13:05:22"
"INV-00002","SUP-00002","Rapid-IT Services Ltd.","GB998877665","RIT-INV-1001","2024-01-05","2024-01-20","2024-01-06","12250","GBP","2024-01-18","12250","bank_transfer","TRX20240118R","paid","12","false","2024-01-06T11:09:14","2024-01-18T15:20:19"
"INV-00003","SUP-00003","EuroChem Logistics","DE445566778","ECL-24-0115","2024-01-10","2024-01-25","2024-01-11","3050.75","EUR","2024-01-23","3050.75","bank_transfer","SEPA20240123","paid","12","false","2024-01-11T09:00:00","2024-01-23T12:01:33"
"INV-00004","SUP-00001","Northland Foods Inc.","US112233445","NF-20240110-002","2024-01-10","2024-02-09","2024-01-12","187","USD","","","","","pending","","false","2024-01-12T10:45:34","2024-01-12T10:45:34"
"INV-00005","SUP-00004","AsiaTech Components","CN334455667","ATC-INV-2024-003","2024-01-15","2024-02-15","2024-01-16","2415000","CNY","","","","","overdue","","true","2024-01-16T12:00:00","2024-03-01T14:53:20"
"INV-00006","SUP-00005","Global Office Supplies","US556677889","GOS-2024-0116","2024-01-14","2024-01-29","2024-01-15","876.4","USD","2024-01-25","876.4","credit_card","CC20240125F","paid","10","false","2024-01-15T08:12:12","2024-01-25T17:14:57"
"INV-00007","SUP-00006","Bright Energy Solutions","SE990011223","BES-2401-004","2024-01-18","2024-02-02","2024-01-19","21500","SEK","2024-02-05","21500","bank_transfer","TRX-SE-240205","paid","17","true","2024-01-19T10:04:08","2024-02-05T16:36:11"
"INV-00008","SUP-00007","Pacific Seafood Corp.","","PSC-2024-17","2024-01-20","2024-02-04","2024-01-21","0","USD","","","","","cancelled","","false","2024-01-21T08:59:59","2024-01-21T08:59:59"
"INV-00009","SUP-00008","MedEquip Partners","US223344556","MEP-20240123-01","2024-01-22","2024-02-06","2024-01-23","1800.5","USD","","","","","pending","","false","2024-01-23T13:45:01","2024-01-23T13:45:01"
"INV-00010","SUP-00009","LatAm Agro Products","BR442211889","LAP-2024-05","2024-01-25","2024-02-24","2024-01-26","22500","BRL","2024-03-01","22500","bank_transfer","TRX-BR-240301","paid","34","true","2024-01-26T09:30:22","2024-03-01T15:20:55"
"INV-00011","SUP-00010","Urban Renovations LLC","US667788990","UR-2401-007","2024-01-28","2024-02-12","2024-01-29","350","USD","","","","","pending","","false","2024-01-29T14:11:04","2024-01-29T14:11:04"
"INV-00012","SUP-00003","EuroChem Logistics","DE445566778","ECL-24-0120","2024-01-30","2024-02-14","2024-01-31","4520","EUR","2024-02-10","4520","bank_transfer","SEPA20240210","paid","10","false","2024-01-31T09:18:48","2024-02-10T10:04:11"
"INV-00013","SUP-00011","Sunrise International","","SUN-2024-001","2024-02-01","2024-02-16","2024-02-02","115.85","USD","","","","","cancelled","","false","2024-02-02T13:02:13","2024-02-02T13:02:13"
"INV-00014","SUP-00012","BigData Analytics Ltd.","IN983456712","BDA-2402-01","2024-02-03","2024-02-18","2024-02-04","33000","INR","2024-02-19","33000","other","PAY-240219","paid","15","true","2024-02-04T08:35:26","2024-02-19T09:48:32"
"INV-00015","SUP-00013","Blue Ridge Textiles","US998877321","BRT-INV-2024-2","2024-02-05","2024-02-20","2024-02-06","645","USD","","","","","pending","","false","2024-02-06T09:59:59","2024-02-06T09:59:59"
"INV-00016","SUP-00014","Ocean Freight Lines","US222333444","OFL-2402-003","2024-02-07","2024-03-09","2024-02-08","550000","USD","","","","","overdue","","true","2024-02-08T12:10:01","2024-03-12T09:31:00"
"INV-00017","SUP-00015","Vega Pharmaceuticals","US849302119","VP-2024-04","2024-02-10","2024-02-25","2024-02-11","14000","USD","2024-02-22","13500","check","CHK20240222","partial","11","false","2024-02-11T14:06:56","2024-02-22T11:40:31"
"INV-00018","SUP-00016","Green Valley Farms","CA112299887","GVF-2024-001","2024-02-12","2024-02-27","2024-02-13","187.5","CAD","2024-02-17","187.5","cash","CASH240217","paid","4","false","2024-02-13T08:30:10","2024-02-17T09:02:20"
"INV-00019","SUP-00017","Supernova Engineering","US555444333","SNE-24-05","2024-02-15","2024-03-02","2024-02-17","887.9","USD","","","","","pending","","false","2024-02-17T10:05:57","2024-02-17T10:05:57"
"INV-00020","SUP-00018","Techtree Innovations","US123450987","TTI-2024-003","2024-02-18","2024-03-20","2024-02-19","29999.99","USD","2024-03-22","29999.99","bank_transfer","TRX20240322T","paid","32","true","2024-02-19T11:22:49","2024-03-22T13:01:12"
"INV-00021","SUP-00002","Rapid-IT Services Ltd.","GB998877665","RIT-INV-1002","2024-02-20","2024-03-07","2024-02-21","3800","GBP","2024-03-06","3700","bank_transfer","TRX20240306R","partial","14","false","2024-02-21T09:33:55","2024-03-06T10:21:07"
"INV-00022","SUP-00019","Nova Electronics GmbH","DE556677889","NEG-2024-002","2024-02-22","2024-03-24","2024-02-24","155000","EUR","","","","","overdue","","true","2024-02-24T08:20:33","2024-04-01T11:15:40"
"INV-00023","SUP-00020","Silverline Catering","","SC-2402-001","2024-02-25","2024-03-12","2024-02-26","95","USD","","","","","cancelled","","false","2024-02-26T14:21:17","2024-02-26T14:21:17"
"INV-00024","SUP-00021","AgroAsia Exporters","IN112233445","AAE-2024-003","2024-02-28","2024-03-28","2024-02-29","20345","INR","2024-03-18","20345","bank_transfer","PAY-240318","paid","18","false","2024-02-29T10:10:10","2024-03-18T11:55:17"
